scenario,cm,ds_ns,ms,sample,antenna,mode,pole_bins,pole_bins_mod1,pole_radius,peak1_bins,peak1_db,peak2_bins,peak3_bins
cm_B_ds_050_ms_003,B,50,3,0,0,0,0.1504579209261104,0.1504579209261104,0.9041000604629517,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,1,0.8899187037753382,0.8899187037753382,0.9475071430206299,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,2,1.7219948121995619,0.7219948121995619,0.9663784503936768,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,3,2.6711358095383573,0.6711358095383573,0.9342149496078491,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,4,3.8023183478399267,0.8023183478399267,0.8769100904464722,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,5,5.225111714641689,0.225111714641689,0.6048795580863953,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,6,5.673550972020489,0.6735509720204886,0.6774638891220093,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,7,6.961560117816887,0.9615601178168873,0.8581361770629883,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,8,7.968789597316918,0.9687895973169178,0.9003607034683228,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,9,9.135070201033459,0.13507020103345901,0.8653709888458252,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,10,10.363808483032303,0.36380848303230273,0.7474457621574402,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,11,10.967172216113074,0.9671722161130738,0.6003755331039429,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,12,12.165133969275802,0.16513396927580182,0.9095540046691895,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,13,13.12142116587021,0.12142116587020979,0.9030277729034424,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,14,14.125371547440707,0.12537154744070733,0.9410558342933655,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,0,15,14.648428041208211,0.6484280412082111,0.8716363906860352,0.0,-2.206526279449463,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,1,0,0.15659591785561158,0.15659591785561158,0.9123818874359131,0.0,-2.3695895671844482,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,1,1,0.9081732191330959,0.9081732191330959,0.9454054832458496,0.0,-2.3695895671844482,1.0,299.0
cm_B_ds_050_ms_003,B,50,3,0,1,2,1.7399117644303392,0.7399117644303392,0.9665524959564209,0.0,-2.3695895671844482,1.0,299.0
